,Movies,Worldwide Collections
0,Mission: Impossible II,"$546,388,108"
1,Gladiator,"$460,583,960"
2,Cast Away,"$429,632,142"
3,What Women Want,"$374,111,707"
4,Dinosaur,"$349,822,765"
5,How the Grinch Stole Christmas,"$345,141,403"
6,Meet the Parents,"$330,444,045"
7,The Perfect Storm,"$328,718,434"
8,X-Men,"$296,339,528"
9,What Lies Beneath,"$291,420,351"
10,Scary Movie,"$278,019,771"
11,Charlie's Angels,"$264,105,545"
12,Erin Brockovich,"$256,271,286"
13,Unbreakable,"$248,118,121"
14,Gone in 60 Seconds,"$237,202,299"
15,Chicken Run,"$224,834,564"
16,Vertical Limit,"$215,663,859"
17,The Patriot,"$215,294,342"
18,"Crouching Tiger, Hidden Dragon","$213,525,736"
19,Miss Congeniality,"$212,742,720"
20,Traffic,"$207,515,725"
21,Hollow Man,"$190,213,455"
22,102 Dalmatians,"$183,611,771"
23,Big Momma's House,"$173,959,438"
24,The Emperor's New Groove,"$169,327,687"
25,Nutty Professor II: The Klumps,"$166,339,890"
26,Scream 3,"$161,834,276"
27,Chocolat,"$152,699,946"
28,"Me, Myself & Irene","$149,270,999"
29,The Beach,"$144,056,873"
30,Remember the Titans,"$136,706,683"
31,Pokémon the Movie 2000,"$133,949,270"
32,Space Cowboys,"$128,884,132"
33,U-571,"$127,666,415"
34,The Family Man,"$124,745,083"
35,Road Trip,"$119,754,278"
36,Coyote Ugly,"$113,916,474"
37,Final Destination,"$112,880,294"
38,The Exorcist 2000 Director's Cut,"$112,053,066"
39,Mission to Mars,"$110,983,407"
40,The Kid,"$110,317,580"
41,Billy Elliot,"$109,280,263"
42,Shaft,"$107,196,498"
43,The Whole Nine Yards,"$106,371,651"
44,The Cell,"$104,155,843"
45,Rugrats in Paris: The Movie,"$103,291,131"
46,Shanghai Noon,"$99,274,467"
47,The Tigger Movie,"$96,159,800"
48,The 6th Day,"$96,085,477"
49,Romeo Must Die,"$91,036,760"
50,Fantasia 2000,"$90,874,570"
51,Autumn in New York,"$90,726,668"
52,Bring It On,"$90,449,929"
