,Movies,Worldwide Collections
0,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624"
1,Jurassic World,"$1,670,400,637"
2,Furious 7,"$1,515,047,671"
3,Avengers: Age of Ultron,"$1,402,805,868"
4,Minions,"$1,159,398,397"
5,Spectre,"$880,674,609"
6,Inside Out,"$857,611,174"
7,Mission: Impossible - Rogue Nation,"$682,714,267"
8,The Hunger Games: Mockingjay - Part 2,"$658,344,137"
9,The Martian,"$630,161,890"
10,Fifty Shades of Grey,"$569,651,467"
11,Cinderella,"$542,351,353"
12,The Revenant,"$532,950,503"
13,Ant-Man,"$519,311,965"
14,Hotel Transylvania 2,"$474,800,000"
15,San Andreas,"$473,990,832"
16,Terminator Genisys,"$440,603,537"
17,Kingsman: The Secret Service,"$414,351,546"
18,Monster Hunt,"$387,053,506"
19,Home,"$386,041,607"
20,Mad Max: Fury Road,"$374,736,354"
21,The Good Dinosaur,"$332,207,671"
22,Taken 3,"$326,479,141"
23,The SpongeBob Movie: Sponge Out of Water,"$325,186,032"
24,Maze Runner: The Scorch Trials,"$312,296,056"
25,The Divergent Series: Insurgent,"$297,002,527"
26,Pitch Perfect 2,"$287,144,079"
27,Xun long jue,"$259,368,448"
28,Lost in Hong Kong,"$256,283,912"
29,The Peanuts Movie,"$246,233,113"
30,Pixels,"$244,874,809"
31,Daddy's Home,"$242,786,137"
32,Spy,"$235,666,219"
33,Alvin and the Chipmunks: The Road Chip,"$234,798,636"
34,Goodbye Mr. Loser,"$228,122,928"
35,Ted 2,"$215,863,606"
36,Tomorrowland,"$209,035,668"
37,Everest,"$203,427,584"
38,Straight Outta Compton,"$201,634,991"
39,The Intern,"$194,564,672"
40,Jupiter Ascending,"$183,887,723"
41,Creed,"$173,567,581"
42,Fantastic Four,"$167,882,881"
43,Bridge of Spies,"$165,478,348"
44,Focus,"$158,762,963"
45,Goosebumps,"$158,260,952"
46,Ip Man 3,"$156,954,938"
47,The Hateful Eight,"$155,760,117"
48,Gods of Egypt,"$150,680,864"
49,The Last Witch Hunter,"$146,936,910"
50,Trainwreck,"$140,795,793"
51,Mr. Six,"$139,191,345"
52,Point Break,"$133,718,711"
53,The Big Short,"$133,440,870"
54,Pan,"$128,388,320"
55,Detective Chinatown,"$125,842,935"
56,Wolf Totem,"$125,837,070"
57,Ride Along 2,"$124,605,297"
58,Dragon Blade,"$122,593,849"
59,Magic Mike XXL,"$117,813,057"
60,Insidious: Chapter 3,"$112,983,889"
61,Get Hard,"$111,711,453"
62,The 5th Wave,"$109,906,372"
63,Paul Blart: Mall Cop 2,"$107,588,225"
64,Vacation,"$107,228,221"
65,The Man from U.N.C.L.E.,"$107,045,109"
66,Shaun the Sheep Movie,"$106,209,378"
67,Sisters,"$105,011,053"
68,Chappie,"$102,811,889"
69,Joy,"$101,134,059"
70,Black Mass,"$99,775,678"
71,Spotlight,"$98,690,254"
72,Devil and Angel,"$98,599,942"
73,The Visit,"$98,450,062"
74,The Little Prince,"$97,571,250"
75,Assassination,"$96,119,773"
76,Poltergeist,"$95,437,994"
77,Veteran,"$94,393,020"
78,In the Heart of the Sea,"$93,920,758"
79,Kill Zone 2,"$93,638,358"
80,Southpaw,"$91,970,827"
81,The Second Best Exotic Marigold Hotel,"$85,978,266"
82,Paper Towns,"$85,512,300"
83,Sicario,"$84,872,444"
84,Hitman: Agent 47,"$82,347,656"
85,Go Away Mr. Tumor,"$80,606,893"
86,The Wedding Ringer,"$79,799,880"
87,Paranormal Activity: The Ghost Dimension,"$78,903,124"
88,Bajrangi Bhaijaan,"$75,547,184"
89,War Room,"$73,267,874"
90,The Transporter Refueled,"$72,629,670"
91,Run All Night,"$71,561,644"
92,13 Hours,"$69,411,370"
93,Running Man,"$68,782,475"
